demande_id,region,prefecture,commune,quartier_x,type_document,categorie_document,nombre_demandes,delai_traitement_jours,taux_rejet,date_demande,motif_demande,statut_demande,canal_demande,age_demandeur,sexe_demandeur,centre_id,nom_centre,type_centre,quartier_y,latitude,longitude,personnel_capacite_jour,nombre_guichets,heures_ouverture,horaire_nuit,equipement_numerique,date_ouverture,statut_centre,commune_id,latitude_geo,longitude_geo,altitude_m,superficie_km2,population_densite,code_postal,type_commune,distance_capitale_km,zone_climatique,pib_par_habitant_fcfa,taux_chomage,taux_pauvrete,acces_electricite,acces_eau_potable,acces_internet,indice_developpement,score_education,score_sante,nombre_ecoles,nombre_hopitaux,nombre_banques,population,superficie_km2_socio,densite,taux_urbanisation,taux_alphabetisation,age_median,nombre_menages,revenu_moyen_fcfa,annee,mois,nombre_demandes_mensuel,delai_moyen_jours,taux_rejet_moyen,delai_effectif,nombre_rejete,longueur_km,temps_parcours_heures
D007,Savanes,Oti,Mango,Golfe,Carte d'identité,Identité,25.0,9.0,0.01,2023-10-05,Vol,Rejetée,Guichet,53.0,M,CT010,Centre Principal Sokodé,Principal,Résidentiel,9.46964,1.0272999999999999,80.4,6.0,07:30-17:30,Non,Complet,2020-08-10,Actif,COM163,10.1324,0.399,187.0,516.0,36.0,BP 370,Rurale,453.0,Savane,470000.0,0.26,0.51,0.73,0.71,0.29,0.51,0.56,0.54,72.0,4.0,12.0,46977.0,239.0,196.0,0.13,0.64,23.0,9179.0,127582.0,2023.0,1.0,538.0,17.98,0.06,22.4,55.2,105.0,1.4500000000000002
D008,Maritime,Golfe,Lomé,Golfe,Livre de famille,Civil,192.0,45.0,0.04,2023-06-21,Perte,Traitee,En ligne,83.0,M,CT016,Centre Lomé,Secondaire,Administratif,6.2788,1.3586,106.0,2.0,08:00-16:00,Non,Partiel,2023-07-08,Actif,COM010,6.6952,1.4561,69.0,190.0,4690.0,BP 137,Urbaine,68.0,Côtière,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,424644.0,482.0,881.0,0.95,0.83,23.0,71055.0,372987.0,2023.0,1.0,850.0,27.8,0.09,25.90909090909091,98.0,228.0,2.2
D008,Maritime,Golfe,Lomé,Golfe,Livre de famille,Civil,192.0,45.0,0.04,2023-06-21,Perte,Traitee,En ligne,83.0,M,CT037,Centre Principal Lomé,Principal,Poste,6.6032,1.327,324.0,14.0,07:30-17:30,Non,Complet,2023-11-20,Actif,COM010,6.6952,1.4561,69.0,190.0,4690.0,BP 137,Urbaine,68.0,Côtière,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,424644.0,482.0,881.0,0.95,0.83,23.0,71055.0,372987.0,2023.0,1.0,850.0,27.8,0.09,21.875,43.0,228.0,2.2
D008,Maritime,Golfe,Lomé,Golfe,Livre de famille,Civil,192.0,45.0,0.04,2023-06-21,Perte,Traitee,En ligne,83.0,M,CT039,Centre Lomé,Secondaire,Carrefour,6.2248,1.3339,110.0,4.0,08:00-16:00,Non,Limite,2018-12-06,Actif,COM010,6.6952,1.4561,69.0,190.0,4690.0,BP 137,Urbaine,68.0,Côtière,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,424644.0,482.0,881.0,0.95,0.83,23.0,71055.0,372987.0,2023.0,1.0,850.0,27.8,0.09,18.77777777777778,52.0,228.0,2.2
D009,Centrale,Tchaoudjo,Sokodé,Hôpital,Passeport,Voyage,177.0,4.0,0.08,2023-02-08,Perte,Traitee,Guichet,29.0,M,CT022,Centre Principal Sokodé,Principal,Centre ville,8.5795,0.9275,273.0,10.0,07:30-17:30,Oui,Complet,2015-04-04,Actif,COM099,8.5197,1.2843,255.0,106.0,4331.0,BP 284,Urbaine,265.0,Plateau/Montagneux,520000.0,0.23,0.45,0.78,0.75,0.34,0.56,0.61,0.59,80.0,4.0,12.0,116781.0,238.0,490.0,0.78,0.76,18.0,18648.0,279000.0,2023.0,3.0,610.0,30.5,0.11,17.666666666666668,48.0,240.0,3.0
D009,Centrale,Tchaoudjo,Sokodé,Hôpital,Passeport,Voyage,177.0,4.0,0.08,2023-02-08,Perte,Traitee,Guichet,29.0,M,CT026,Centre Principal Sokodé,Principal,Résidentiel,8.9819,0.831,345.0,11.0,07:30-17:30,Non,Complet,2020-10-16,Actif,COM099,8.5197,1.2843,255.0,106.0,4331.0,BP 284,Urbaine,265.0,Plateau/Montagneux,520000.0,0.23,0.45,0.78,0.75,0.34,0.56,0.61,0.59,80.0,4.0,12.0,116781.0,238.0,490.0,0.78,0.76,18.0,18648.0,279000.0,2023.0,3.0,610.0,30.5,0.11,19.84210526315789,71.0,240.0,3.0
D009,Centrale,Tchaoudjo,Sokodé,Hôpital,Passeport,Voyage,177.0,4.0,0.08,2023-02-08,Perte,Traitee,Guichet,29.0,M,CT029,Centre Principal Sokodé,Principal,Zone industrielle,8.876,1.203,358.0,13.0,07:30-17:30,Non,Complet,2023-07-15,Actif,COM099,8.5197,1.2843,255.0,106.0,4331.0,BP 284,Urbaine,265.0,Plateau/Montagneux,520000.0,0.23,0.45,0.78,0.75,0.34,0.56,0.61,0.59,80.0,4.0,12.0,116781.0,238.0,490.0,0.78,0.76,18.0,18648.0,279000.0,2023.0,3.0,610.0,30.5,0.11,16.666666666666668,101.0,240.0,3.0
D009,Centrale,Tchaoudjo,Sokodé,Hôpital,Passeport,Voyage,177.0,4.0,0.08,2023-02-08,Perte,Traitee,Guichet,29.0,M,CT040,Centre Sokodé,Secondaire,Résidentiel,8.9743,1.1478,118.0,2.0,08:00-16:00,Non,Partiel,2020-03-04,Actif,COM099,8.5197,1.2843,255.0,106.0,4331.0,BP 284,Urbaine,265.0,Plateau/Montagneux,520000.0,0.23,0.45,0.78,0.75,0.34,0.56,0.61,0.59,80.0,4.0,12.0,116781.0,238.0,490.0,0.78,0.76,18.0,18648.0,279000.0,2023.0,3.0,610.0,30.5,0.11,19.0,23.0,240.0,3.0
D009,Centrale,Tchaoudjo,Sokodé,Hôpital,Passeport,Voyage,177.0,4.0,0.08,2023-02-08,Perte,Traitee,Guichet,29.0,M,CT054,Centre Principal Sokodé,Principal,Poste,8.6473,1.0778,248.0,12.0,07:30-17:30,Non,Complet,2020-12-15,Actif,COM099,8.5197,1.2843,255.0,106.0,4331.0,BP 284,Urbaine,265.0,Plateau/Montagneux,520000.0,0.23,0.45,0.78,0.75,0.34,0.56,0.61,0.59,80.0,4.0,12.0,116781.0,238.0,490.0,0.78,0.76,18.0,18648.0,279000.0,2023.0,3.0,610.0,30.5,0.11,35.0,6.0,240.0,3.0
D010,Kara,Kozah,Kara,Tokoin,Livre de famille,Civil,21.0,15.0,0.1,2023-11-09,Détérioration,En cours,En ligne,70.0,F,CT010,Centre Principal Kara,Principal,Préfecture,9.324,0.7628,274.0,13.0,07:30-17:30,Non,Complet,2023-11-24,Actif,COM125,9.3424,1.305,532.0,196.0,1916.0,BP 394,Urbaine,357.0,Savane,590000.0,0.2,0.37,0.86,0.83,0.42,0.62,0.67,0.64,115.0,8.0,21.0,165744.0,145.0,1143.0,0.58,0.7,19.0,40188.0,185819.0,2023.0,1.0,300.0,18.2,0.05,23.9,67.0,243.0,1.525
D010,Kara,Kozah,Kara,Tokoin,Livre de famille,Civil,21.0,15.0,0.1,2023-11-09,Détérioration,En cours,En ligne,70.0,F,CT042,Centre Principal Kara,Principal,Centre ville,9.4131,0.8157,294.0,14.0,07:30-17:30,Non,Complet,2020-08-10,Actif,COM125,9.3424,1.305,532.0,196.0,1916.0,BP 394,Urbaine,357.0,Savane,590000.0,0.2,0.37,0.86,0.83,0.42,0.62,0.67,0.64,115.0,8.0,21.0,165744.0,145.0,1143.0,0.58,0.7,19.0,40188.0,185819.0,2023.0,1.0,300.0,18.2,0.05,22.181818181818183,113.0,243.0,1.525
D011,Maritime,Golfe,Adidogomé,Hôpital,Casier judiciaire,Judiciaire,145.0,31.0,0.15,2023-10-30,Emploi,En cours,Guichet,39.0,F,CT010,Centre Principal Sokodé,Principal,Résidentiel,8.193560000000002,1.059,238.8,9.8,07:30-17:30,Non,Complet,2020-08-10,Actif,COM099,8.092679999999998,1.21304,323.6,179.6,1403.2,BP 284,Urbaine,220.0,Savane,590000.0,0.2,0.37,0.86,0.8299999999999998,0.42000000000000004,0.62,0.67,0.64,115.0,8.0,21.0,126949.4,172.4,1182.4,0.462,0.752,21.2,25550.8,189009.0,2023.0,1.4,582.0,23.26,0.074,20.88064935064935,67.0,228.0,2.2
D012,Kara,Binah,Pagouda,Kodjoviakopé,Livre de famille,Civil,140.0,19.0,0.13,2023-05-18,Nouveau mariage,Traitee,Guichet,83.0,F,CT004,Centre Pagouda,Secondaire,Gare routière,9.4247,1.1698,78.0,6.0,08:00-16:00,Non,Partiel,2019-12-03,Actif,COM132,9.5536,1.042,422.0,302.0,330.0,BP 455,Semi-urbaine,380.0,Savane,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,46417.0,426.0,108.0,0.11,0.64,24.0,7374.0,138235.0,2024.0,1.0,1090.0,16.78,0.054000000000000006,26.0,75.0,228.0,2.2
D012,Kara,Binah,Pagouda,Kodjoviakopé,Livre de famille,Civil,140.0,19.0,0.13,2023-05-18,Nouveau mariage,Traitee,Guichet,83.0,F,CT011,Centre Pagouda,Secondaire,Préfecture,9.4996,0.9323,82.0,6.0,08:00-16:00,Non,Partiel,2017-11-30,Actif,COM132,9.5536,1.042,422.0,302.0,330.0,BP 455,Semi-urbaine,380.0,Savane,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,46417.0,426.0,108.0,0.11,0.64,24.0,7374.0,138235.0,2024.0,1.0,1090.0,16.78,0.054000000000000006,20.0,42.0,228.0,2.2
D013,Centrale,Sotouboua,Sotouboua,Golfe,Livre de famille,Civil,102.0,37.0,0.06,2023-06-25,Perte,Rejetée,Guichet,37.0,F,CT012,Centre Sotouboua,Secondaire,Résidentiel,8.2161,1.3118,54.0,5.0,08:00-16:00,Non,Partiel,2022-07-15,Actif,COM105,9.1953,1.3893,256.0,204.0,183.0,BP 96,Semi-urbaine,341.0,Savane,530000.0,0.22,0.43,0.79,0.76,0.32,0.55,0.61,0.59,74.0,4.0,11.0,155452.0,204.0,762.0,0.52,0.75,21.0,30086.0,218170.0,2023.0,1.0,240.0,19.8,0.06,17.8,50.0,280.0,2.2333333333333334
D013,Centrale,Sotouboua,Sotouboua,Golfe,Livre de famille,Civil,102.0,37.0,0.06,2023-06-25,Perte,Rejetée,Guichet,37.0,F,CT051,Centre Sotouboua,Secondaire,Résidentiel,9.1659,0.8743,109.0,2.0,08:00-16:00,Non,Partiel,2022-05-29,Actif,COM105,9.1953,1.3893,256.0,204.0,183.0,BP 96,Semi-urbaine,341.0,Savane,530000.0,0.22,0.43,0.79,0.76,0.32,0.55,0.61,0.59,74.0,4.0,11.0,155452.0,204.0,762.0,0.52,0.75,21.0,30086.0,218170.0,2023.0,1.0,240.0,19.8,0.06,22.08333333333333,97.0,280.0,2.2333333333333334
D014,Savanes,Tône,Dapaong,Golfe,Casier judiciaire,Judiciaire,11.0,18.0,0.12,2023-04-30,Emploi,Traitee,En ligne,70.0,M,CT001,Centre Principal Dapaong,Principal,Administratif,10.592,0.4742,300.0,12.0,07:30-17:30,Non,Complet,2016-02-14,Actif,COM157,10.2444,0.6929,164.0,187.0,3082.0,BP 32,Urbaine,460.0,Savane,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,115222.0,275.0,418.0,0.6,0.67,24.0,18856.0,172975.0,2024.0,1.0,474.0,15.839999999999998,0.044,17.555555555555557,57.0,130.0,1.9
D014,Savanes,Tône,Dapaong,Golfe,Casier judiciaire,Judiciaire,11.0,18.0,0.12,2023-04-30,Emploi,Traitee,En ligne,70.0,M,CT032,Centre Dapaong,Secondaire,Gare routière,10.1609,0.0987,59.0,3.0,08:00-16:00,Non,Partiel,2016-03-21,Actif,COM157,10.2444,0.6929,164.0,187.0,3082.0,BP 32,Urbaine,460.0,Savane,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,115222.0,275.0,418.0,0.6,0.67,24.0,18856.0,172975.0,2024.0,1.0,540.0,18.96,0.05600000000000001,17.625,55.0,130.0,1.9
D015,Kara,Binah,Pagouda,Hôpital,Passeport,Voyage,27.0,33.0,0.07,2023-12-25,Perte,Rejetée,Guichet,53.0,M,CT004,Centre Pagouda,Secondaire,Gare routière,9.4247,1.1698,78.0,6.0,08:00-16:00,Non,Partiel,2019-12-03,Actif,COM132,9.5536,1.042,422.0,302.0,330.0,BP 455,Semi-urbaine,380.0,Savane,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,46417.0,426.0,108.0,0.11,0.64,24.0,7374.0,138235.0,2024.0,1.0,540.0,18.959999999999997,0.055999999999999994,26.0,75.0,228.0,2.2
D015,Kara,Binah,Pagouda,Hôpital,Passeport,Voyage,27.0,33.0,0.07,2023-12-25,Perte,Rejetée,Guichet,53.0,M,CT011,Centre Pagouda,Secondaire,Préfecture,9.4996,0.9323,82.0,6.0,08:00-16:00,Non,Partiel,2017-11-30,Actif,COM132,9.5536,1.042,422.0,302.0,330.0,BP 455,Semi-urbaine,380.0,Savane,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,46417.0,426.0,108.0,0.11,0.64,24.0,7374.0,138235.0,2024.0,1.0,540.0,18.959999999999997,0.055999999999999994,20.0,42.0,228.0,2.2
D016,Centrale,Tchaoudjo,Sokodé,Amoutivé,Casier judiciaire,Judiciaire,127.0,5.0,0.1,2023-11-13,Voyage,Traitee,Guichet,67.0,M,CT022,Centre Principal Sokodé,Principal,Centre ville,8.5795,0.9275,273.0,10.0,07:30-17:30,Oui,Complet,2015-04-04,Actif,COM099,8.5197,1.2843,255.0,106.0,4331.0,BP 284,Urbaine,265.0,Plateau/Montagneux,520000.0,0.23,0.45,0.78,0.75,0.34,0.56,0.61,0.59,80.0,4.0,12.0,116781.0,238.0,490.0,0.78,0.76,18.0,18648.0,279000.0,2023.0,3.0,538.0,19.839999999999996,0.068,17.666666666666668,48.0,240.0,3.0
D016,Centrale,Tchaoudjo,Sokodé,Amoutivé,Casier judiciaire,Judiciaire,127.0,5.0,0.1,2023-11-13,Voyage,Traitee,Guichet,67.0,M,CT026,Centre Principal Sokodé,Principal,Résidentiel,8.9819,0.831,345.0,11.0,07:30-17:30,Non,Complet,2020-10-16,Actif,COM099,8.5197,1.2843,255.0,106.0,4331.0,BP 284,Urbaine,265.0,Plateau/Montagneux,520000.0,0.23,0.45,0.78,0.75,0.34,0.56,0.61,0.59,80.0,4.0,12.0,116781.0,238.0,490.0,0.78,0.76,18.0,18648.0,279000.0,2023.0,3.0,538.0,19.839999999999996,0.068,19.84210526315789,71.0,240.0,3.0
D016,Centrale,Tchaoudjo,Sokodé,Amoutivé,Casier judiciaire,Judiciaire,127.0,5.0,0.1,2023-11-13,Voyage,Traitee,Guichet,67.0,M,CT029,Centre Principal Sokodé,Principal,Zone industrielle,8.876,1.203,358.0,13.0,07:30-17:30,Non,Complet,2023-07-15,Actif,COM099,8.5197,1.2843,255.0,106.0,4331.0,BP 284,Urbaine,265.0,Plateau/Montagneux,520000.0,0.23,0.45,0.78,0.75,0.34,0.56,0.61,0.59,80.0,4.0,12.0,116781.0,238.0,490.0,0.78,0.76,18.0,18648.0,279000.0,2023.0,3.0,538.0,19.839999999999996,0.068,16.666666666666668,101.0,240.0,3.0
D016,Centrale,Tchaoudjo,Sokodé,Amoutivé,Casier judiciaire,Judiciaire,127.0,5.0,0.1,2023-11-13,Voyage,Traitee,Guichet,67.0,M,CT040,Centre Sokodé,Secondaire,Résidentiel,8.9743,1.1478,118.0,2.0,08:00-16:00,Non,Partiel,2020-03-04,Actif,COM099,8.5197,1.2843,255.0,106.0,4331.0,BP 284,Urbaine,265.0,Plateau/Montagneux,520000.0,0.23,0.45,0.78,0.75,0.34,0.56,0.61,0.59,80.0,4.0,12.0,116781.0,238.0,490.0,0.78,0.76,18.0,18648.0,279000.0,2023.0,3.0,538.0,19.839999999999996,0.068,19.0,23.0,240.0,3.0
D016,Centrale,Tchaoudjo,Sokodé,Amoutivé,Casier judiciaire,Judiciaire,127.0,5.0,0.1,2023-11-13,Voyage,Traitee,Guichet,67.0,M,CT054,Centre Principal Sokodé,Principal,Poste,8.6473,1.0778,248.0,12.0,07:30-17:30,Non,Complet,2020-12-15,Actif,COM099,8.5197,1.2843,255.0,106.0,4331.0,BP 284,Urbaine,265.0,Plateau/Montagneux,520000.0,0.23,0.45,0.78,0.75,0.34,0.56,0.61,0.59,80.0,4.0,12.0,116781.0,238.0,490.0,0.78,0.76,18.0,18648.0,279000.0,2023.0,3.0,538.0,19.839999999999996,0.068,35.0,6.0,240.0,3.0
D017,Maritime,Vo,Vogan,Hôpital,Passeport,Voyage,61.0,24.0,0.04,2023-02-21,Voyage,Traitee,En ligne,30.0,F,CT020,Centre Vogan,Secondaire,Administratif,6.3093,1.3497,32.0,2.0,08:00-16:00,Non,Partiel,2019-09-03,Actif,COM001,6.2295,1.504,19.0,343.0,35.0,BP 272,Rurale,34.0,Côtière,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,48777.0,478.0,102.0,0.33,0.76,19.0,8590.0,78348.0,2024.0,1.0,760.0,18.659999999999997,0.05800000000000001,22.0,25.0,720.0,2.84
D017,Maritime,Vo,Vogan,Hôpital,Passeport,Voyage,61.0,24.0,0.04,2023-02-21,Voyage,Traitee,En ligne,30.0,F,CT031,Centre Vogan,Secondaire,Centre ville,6.2145,1.4578,64.0,6.0,08:00-16:00,Non,Limite,2017-07-27,Actif,COM001,6.2295,1.504,19.0,343.0,35.0,BP 272,Rurale,34.0,Côtière,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,48777.0,478.0,102.0,0.33,0.76,19.0,8590.0,78348.0,2024.0,1.0,760.0,18.659999999999997,0.05800000000000001,28.571428571428573,71.0,720.0,2.84
D018,Kara,Binah,Pagouda,Nyékonakpoé,Acte de naissance,Civil,167.0,2.0,0.01,2023-04-29,Perte,En cours,Guichet,63.0,M,CT004,Centre Pagouda,Secondaire,Gare routière,9.4247,1.1698,78.0,6.0,08:00-16:00,Non,Partiel,2019-12-03,Actif,COM132,9.5536,1.042,422.0,302.0,330.0,BP 455,Semi-urbaine,380.0,Savane,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,46417.0,426.0,108.0,0.11,0.64,24.0,7374.0,138235.0,2024.0,1.0,892.0,16.160000000000004,0.05,26.0,75.0,228.0,2.2
D018,Kara,Binah,Pagouda,Nyékonakpoé,Acte de naissance,Civil,167.0,2.0,0.01,2023-04-29,Perte,En cours,Guichet,63.0,M,CT011,Centre Pagouda,Secondaire,Préfecture,9.4996,0.9323,82.0,6.0,08:00-16:00,Non,Partiel,2017-11-30,Actif,COM132,9.5536,1.042,422.0,302.0,330.0,BP 455,Semi-urbaine,380.0,Savane,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,46417.0,426.0,108.0,0.11,0.64,24.0,7374.0,138235.0,2024.0,1.0,892.0,16.160000000000004,0.05,20.0,42.0,228.0,2.2
D019,Centrale,Sotouboua,Sotouboua,Kodjoviakopé,Carte d'identité,Identité,38.0,7.0,0.1,2023-11-10,Vol,Traitee,Guichet,57.0,M,CT012,Centre Sotouboua,Secondaire,Résidentiel,8.2161,1.3118,54.0,5.0,08:00-16:00,Non,Partiel,2022-07-15,Actif,COM105,9.1953,1.3893,256.0,204.0,183.0,BP 96,Semi-urbaine,341.0,Savane,530000.0,0.22,0.43,0.79,0.76,0.32,0.55,0.61,0.59,74.0,4.0,11.0,155452.0,204.0,762.0,0.52,0.75,21.0,30086.0,218170.0,2023.0,1.0,950.0,18.4,0.07,17.8,50.0,280.0,2.2333333333333334
